0	15641	8268	7373
1	1450	1145	305
2	1424	1120	304
3	1426	1118	308
4	1460	1160	300
5	1485	1165	320
6	1451	1134	317
7	1547	1237	310
8	1507	1187	320
9	1471	1178	293
10	1439	1131	308
11	1541	1207	334
12	1411	1086	325
13	1616	1319	297
14	1487	1163	324
15	1582	1265	317
16	15606	8224	7382
17	1394	1082	312
18	1508	1207	301
19	1404	1097	307
20	1509	1189	320
21	1538	1226	312
22	1560	1234	326
23	1526	1204	322
24	1367	1048	319
25	1450	1154	296
26	1447	1136	311
27	1642	1317	325
28	1478	1163	315
29	1538	1225	313
30	1506	1175	331
31	1447	1127	320
32	15738	8352	7386
33	1505	1184	321
34	1428	1107	321
35	1481	1185	296
36	1556	1237	319
37	1619	1303	316
38	1450	1131	319
39	1551	1245	306
40	1491	1184	307
41	1557	1255	302
42	1527	1211	316
43	1592	1263	329
44	1542	1208	334
45	1649	1328	321
46	1624	1289	335
47	1575	1250	325
48	15674	8281	7393
49	1607	1278	329
50	1605	1274	331
51	1621	1299	322
52	1685	1350	335
53	1686	1367	319
54	1607	1282	325
55	1534	1218	316
56	1494	1171	323
57	1629	1321	308
58	1775	1448	327
59	1649	1317	332
60	1563	1229	334
61	1586	1269	317
62	1594	1267	327
63	1567	1243	324
64	15158	7774	7384
65	884	602	282
66	883	597	286
67	905	625	280
68	857	589	268
69	926	651	275
70	917	643	274
71	968	699	269
72	921	640	281
73	899	625	274
74	891	622	269
75	900	629	271
76	830	555	275
77	864	593	271
78	886	614	272
79	922	642	280
80	15136	7753	7383
81	902	620	282
82	928	643	285
83	885	603	282
84	939	670	269
85	949	674	275
86	950	676	274
87	947	675	272
88	928	645	283
89	958	683	275
90	986	719	267
91	926	658	268
92	944	672	272
93	982	709	273
94	952	676	276
95	967	686	281
96	15137	7754	7383
97	923	642	281
98	956	671	285
99	976	693	283
100	960	690	270
101	962	688	274
102	907	633	274
103	974	700	274
104	911	629	282
105	900	626	274
106	904	635	269
107	954	682	272
108	880	608	272
109	857	584	273
110	915	640	275
111	875	593	282
112	15139	7755	7384
113	975	693	282
114	983	700	283
115	907	621	286
116	942	672	270
117	906	634	272
118	952	673	279
119	961	687	274
120	954	671	283
121	919	641	278
122	924	652	272
123	964	690	274
124	889	620	269
125	951	676	275
126	904	628	276
127	934	653	281
128	15020	7756	7264
129	1097	820	277
130	1098	807	291
131	1087	797	290
132	1098	800	298
133	1100	804	296
134	1120	824	296
135	1088	807	281
136	1096	803	293
137	1065	768	297
138	1107	812	295
139	1143	853	290
140	1104	819	285
141	1134	837	297
142	1126	826	300
143	1087	804	283
144	15044	7771	7273
145	1071	792	279
146	1113	828	285
147	1070	784	286
148	1143	836	307
149	1119	821	298
150	1141	842	299
151	1109	824	285
152	1094	803	291
153	1138	835	303
154	1139	832	307
155	1062	772	290
156	1084	799	285
157	1119	822	297
158	1138	838	300
159	1063	783	280
160	15055	7787	7268
161	1108	828	280
162	1148	850	298
163	1126	838	288
164	1145	841	304
165	1152	855	297
166	1119	828	291
167	1109	820	289
168	1139	849	290
169	1116	816	300
170	1107	813	294
171	1109	821	288
172	1102	817	285
173	1101	815	286
174	1096	800	296
175	1080	799	281
176	15050	7783	7267
177	1079	799	280
178	1118	828	290
179	1137	849	288
180	1131	832	299
181	1166	859	307
182	1154	861	293
183	1056	771	285
184	1057	763	294
185	1087	787	300
186	1087	789	298
187	1083	788	295
188	1089	799	290
189	1088	799	289
190	1148	842	306
191	1099	813	286
192	14438	7303	7135
193	724	446	278
194	709	435	274
195	702	416	286
196	729	449	280
197	701	423	278
198	722	444	278
199	734	447	287
200	696	420	276
201	720	440	280
202	727	448	279
203	726	449	277
204	748	474	274
205	702	428	274
206	698	423	275
207	688	409	279
208	14437	7303	7134
209	738	462	276
210	704	429	275
211	707	422	285
212	712	430	282
213	693	415	278
214	683	408	275
215	725	439	286
216	682	406	276
217	676	398	278
218	741	462	279
219	719	442	277
220	742	468	274
221	701	428	273
222	726	454	272
223	740	459	281
224	14401	7267	7134
225	701	426	275
226	730	455	275
227	726	441	285
228	673	390	283
229	675	399	276
230	684	406	278
231	686	399	287
232	675	396	279
233	708	428	280
234	660	382	278
235	687	406	281
236	674	398	276
237	730	456	274
238	701	429	272
239	683	402	281
240	14434	7300	7134
241	744	468	276
242	730	451	279
243	766	481	285
244	761	477	284
245	732	457	275
246	739	460	279
247	756	473	283
248	724	445	279
249	749	469	280
250	733	455	278
251	747	466	281
252	719	445	274
253	728	456	272
254	724	451	273
255	728	450	278
256	14914	7788	7126
257	1100	863	237
258	1152	894	258
259	1187	944	243
260	1175	924	251
261	1181	929	252
262	1115	866	249
263	1130	881	249
264	1148	900	248
265	1146	892	254
266	1182	940	242
267	1208	958	250
268	1152	902	250
269	1208	945	263
270	1091	857	234
271	1123	868	255
272	14921	7794	7127
273	1092	855	237
274	1264	1009	255
275	1187	945	242
276	1185	935	250
277	1149	894	255
278	1197	951	246
279	1223	972	251
280	1081	835	246
281	1108	855	253
282	1258	1014	244
283	1116	865	251
284	1134	886	248
285	1172	906	266
286	1225	990	235
287	1109	856	253
288	14807	7679	7128
289	1050	813	237
290	1079	825	254
291	1060	819	241
292	1058	814	244
293	1081	825	256
294	1113	867	246
295	1148	895	253
296	1033	785	248
297	1161	907	254
298	1072	828	244
299	1092	842	250
300	1035	786	249
301	1176	913	263
302	1092	858	234
303	1104	856	248
304	14881	7752	7129
305	1134	890	244
306	1101	844	257
307	1130	886	244
308	1089	843	246
309	1202	944	258
310	1114	863	251
311	1182	928	254
312	1058	812	246
313	1090	833	257
314	1112	866	246
315	1102	850	252
316	1077	833	244
317	1149	880	269
318	1080	845	235
319	1103	847	256
320	15555	8352	7203
321	1637	1363	274
322	1578	1309	269
323	1580	1305	275
324	1596	1302	294
325	1537	1260	277
326	1626	1336	290
327	1592	1306	286
328	1442	1164	278
329	1445	1169	276
330	1625	1362	263
331	1603	1343	260
332	1622	1357	265
333	1746	1477	269
334	1749	1481	268
335	1774	1504	270
336	15594	8404	7190
337	1576	1311	265
338	1839	1570	269
339	1722	1420	302
340	1685	1377	308
341	1519	1233	286
342	1550	1277	273
343	1568	1286	282
344	1471	1184	287
345	1567	1284	283
346	1736	1460	276
347	1672	1385	287
348	1662	1409	253
349	1705	1433	272
350	1722	1451	271
351	1714	1437	277
352	15616	8406	7210
353	1567	1286	281
354	1522	1244	278
355	1708	1429	279
356	1769	1467	302
357	1709	1428	281
358	1653	1382	271
359	1720	1431	289
360	1806	1517	289
361	1825	1539	286
362	1747	1468	279
363	1758	1454	304
364	1653	1355	298
365	1789	1498	291
366	1873	1582	291
367	1632	1335	297
368	15559	8337	7222
369	1688	1403	285
370	1653	1376	277
371	1675	1383	292
372	1833	1526	307
373	1788	1485	303
374	1661	1373	288
375	1772	1483	289
376	1728	1423	305
377	1792	1496	296
378	1861	1578	283
379	1734	1441	293
380	1655	1366	289
381	1708	1431	277
382	1577	1287	290
383	1619	1345	274
384	15124	7844	7280
385	1120	819	301
386	1116	811	305
387	1129	817	312
388	1124	811	313
389	1141	828	313
390	1129	819	310
391	1147	837	310
392	1169	851	318
393	1079	778	301
394	1148	841	307
395	1151	842	309
396	1106	799	307
397	1140	827	313
398	1165	848	317
399	1175	863	312
400	15110	7824	7286
401	1188	867	321
402	1183	869	314
403	1194	870	324
404	1208	874	334
405	1166	845	321
406	1227	905	322
407	1200	883	317
408	1120	803	317
409	1130	825	305
410	1173	853	320
411	1178	860	318
412	1195	866	329
413	1209	879	330
414	1213	887	326
415	1155	841	314
416	15103	7814	7289
417	1184	865	319
418	1156	852	304
419	1162	850	312
420	1194	868	326
421	1134	828	306
422	1161	847	314
423	1199	879	320
424	1184	866	318
425	1192	866	326
426	1134	820	314
427	1173	865	308
428	1164	857	307
429	1183	867	316
430	1167	855	312
431	1165	844	321
432	15054	7766	7288
433	1151	846	305
434	1143	839	304
435	1173	863	310
436	1188	870	318
437	1187	887	300
438	1188	876	312
439	1176	864	312
440	1161	848	313
441	1140	835	305
442	1190	880	310
443	1175	866	309
444	1179	866	313
445	1140	827	313
446	1177	857	320
447	1159	851	308
448	14941	7671	7270
449	997	688	309
450	991	685	306
451	968	678	290
452	933	645	288
453	1001	705	296
454	1037	729	308
455	1031	727	304
456	1015	717	298
457	1032	743	289
458	1042	749	293
459	1104	800	304
460	1074	775	299
461	1051	752	299
462	1057	752	305
463	1069	769	300
464	14954	7690	7264
465	1002	690	312
466	1060	761	299
467	1002	710	292
468	1020	726	294
469	1011	714	297
470	1041	734	307
471	1010	707	303
472	957	658	299
473	1031	743	288
474	991	700	291
475	983	681	302
476	1000	702	298
477	991	696	295
478	1008	708	300
479	962	662	300
480	14932	7672	7260
481	970	658	312
482	997	698	299
483	1013	717	296
484	1021	732	289
485	988	691	297
486	968	668	300
487	921	618	303
488	897	602	295
489	1001	714	287
490	963	677	286
491	1017	717	300
492	943	641	302
493	971	673	298
494	989	686	303
495	975	680	295
496	14923	7656	7267
497	963	650	313
498	952	657	295
499	938	647	291
500	938	650	288
501	939	640	299
502	927	628	299
503	933	629	304
504	919	624	295
505	928	641	287
506	913	626	287
507	934	636	298
508	894	590	304
509	956	661	295
510	960	659	301
511	942	647	295
512	14833	7625	7208
513	924	678	246
514	938	678	260
515	928	680	248
516	926	671	255
517	919	673	246
518	917	660	257
519	918	665	253
520	931	679	252
521	951	697	254
522	975	709	266
523	950	705	245
524	931	675	256
525	933	685	248
526	958	702	256
527	949	694	255
528	14850	7642	7208
529	939	695	244
530	968	708	260
531	945	699	246
532	952	698	254
533	953	710	243
534	940	684	256
535	959	705	254
536	951	701	250
537	952	701	251
538	963	697	266
539	950	705	245
540	960	704	256
541	964	718	246
542	967	713	254
543	969	713	256
544	14885	7675	7210
545	953	708	245
546	962	704	258
547	971	721	250
548	970	716	254
549	977	731	246
550	959	701	258
551	966	711	255
552	966	718	248
553	985	732	253
554	963	699	264
555	956	712	244
556	949	696	253
557	982	733	249
558	974	720	254
559	980	725	255
560	14879	7671	7208
561	953	709	244
562	983	728	255
563	984	733	251
564	963	712	251
565	935	690	245
566	973	715	258
567	983	729	254
568	973	725	248
569	978	726	252
570	981	719	262
571	972	728	244
572	989	738	251
573	978	728	250
574	955	702	253
575	960	705	255
576	14791	7592	7199
577	946	648	298
578	926	626	300
579	921	619	302
580	921	624	297
581	921	625	296
582	904	616	288
583	925	636	289
584	920	623	297
585	877	574	303
586	865	573	292
587	898	606	292
588	891	592	299
589	890	602	288
590	924	625	299
591	907	607	300
592	14691	7491	7200
593	902	606	296
594	918	618	300
595	934	635	299
596	896	599	297
597	917	622	295
598	940	649	291
599	893	605	288
600	894	599	295
601	918	613	305
602	907	613	294
603	944	652	292
604	970	669	301
605	918	629	289
606	928	626	302
607	937	634	303
608	14713	7510	7203
609	864	569	295
610	894	592	302
611	858	562	296
612	921	621	300
613	896	601	295
614	854	564	290
615	870	582	288
616	865	570	295
617	897	597	300
618	855	560	295
619	872	582	290
620	902	603	299
621	891	603	288
622	915	615	300
623	892	593	299
624	14702	7501	7201
625	918	624	294
626	958	657	301
627	888	590	298
628	860	561	299
629	900	605	295
630	886	599	287
631	893	606	287
632	939	642	297
633	895	596	299
634	920	624	296
635	901	608	293
636	938	638	300
637	930	640	290
638	933	635	298
639	955	652	303
640	14962	7614	7348
641	800	548	252
642	778	532	246
643	795	535	260
644	818	566	252
645	798	550	248
646	799	537	262
647	820	560	260
648	808	564	244
649	838	586	252
650	826	569	257
651	850	596	254
652	830	586	244
653	847	595	252
654	824	563	261
655	828	573	255
656	15017	7673	7344
657	817	564	253
658	807	561	246
659	827	568	259
660	842	591	251
661	854	603	251
662	888	627	261
663	861	604	257
664	818	573	245
665	845	592	253
666	834	577	257
667	853	598	255
668	842	599	243
669	820	571	249
670	859	600	259
671	832	573	259
672	15017	7673	7344
673	838	587	251
674	798	551	247
675	841	581	260
676	845	593	252
677	880	630	250
678	864	605	259
679	828	572	256
680	835	588	247
681	808	555	253
682	825	569	256
683	870	614	256
684	834	593	241
685	833	582	251
686	798	540	258
687	791	534	257
688	14967	7627	7340
689	866	612	254
690	822	577	245
691	852	591	261
692	874	622	252
693	854	602	252
694	868	609	259
695	831	574	257
696	808	560	248
697	800	548	252
698	794	541	253
699	802	544	258
700	808	566	242
701	842	592	250
702	824	566	258
703	805	548	257
704	14609	7485	7124
705	907	656	251
706	878	631	247
707	883	628	255
708	896	648	248
709	892	641	251
710	885	627	258
711	858	617	241
712	870	616	254
713	859	611	248
714	886	629	257
715	872	622	250
716	924	663	261
717	891	633	258
718	913	659	254
719	920	660	260
720	14651	7513	7138
721	875	623	252
722	873	625	248
723	923	671	252
724	897	651	246
725	890	641	249
726	880	623	257
727	905	663	242
728	888	636	252
729	886	640	246
730	932	675	257
731	885	634	251
732	888	637	251
733	915	658	257
734	900	650	250
735	914	658	256
736	14655	7528	7127
737	891	642	249
738	895	645	250
739	880	629	251
740	867	621	246
741	862	611	251
742	837	580	257
743	796	557	239
744	855	595	260
745	875	630	245
746	884	623	261
747	904	653	251
748	887	631	256
749	916	660	256
750	926	670	256
751	908	648	260
752	14615	7476	7139
753	931	678	253
754	921	666	255
755	898	646	252
756	919	669	250
757	896	641	255
758	919	660	259
759	896	655	241
760	833	581	252
761	870	625	245
762	851	594	257
763	874	619	255
764	853	598	255
765	846	589	257
766	847	594	253
767	848	592	256
768	15250	7988	7262
769	1255	948	307
770	1330	1020	310
771	1384	1047	337
772	1347	1012	335
773	1342	1018	324
774	1307	980	327
775	1361	1041	320
776	1322	994	328
777	1360	1038	322
778	1358	1054	304
779	1355	1044	311
780	1341	1028	313
781	1419	1087	332
782	1377	1061	316
783	1347	1035	312
784	15280	8023	7257
785	1410	1087	323
786	1437	1123	314
787	1434	1122	312
788	1396	1084	312
789	1328	1016	312
790	1359	1045	314
791	1361	1054	307
792	1340	1016	324
793	1314	1007	307
794	1489	1180	309
795	1333	1023	310
796	1354	1036	318
797	1347	1018	329
798	1402	1077	325
799	1377	1040	337
800	15245	7961	7284
801	1315	998	317
802	1351	1043	308
803	1367	1049	318
804	1312	998	314
805	1349	1045	304
806	1332	1015	317
807	1310	993	317
808	1276	959	317
809	1346	1023	323
810	1409	1075	334
811	1334	1024	310
812	1327	1000	327
813	1395	1063	332
814	1377	1053	324
815	1368	1048	320
816	15247	7970	7277
817	1384	1074	310
818	1359	1042	317
