0	11
1	12
2	9
3	11
4	10
5	9
6	11
7	12
8	10
9	11
10	11
11	9
12	9
13	12
14	11
15	11
16	9
17	12
18	10
19	12
20	11
21	10
22	11
23	11
24	11
25	12
26	11
27	11
28	11
29	10
30	12
31	10
32	11
33	9
34	10
35	12
36	9
37	10
38	11
39	13
40	11
41	11
42	10
43	11
44	8
45	11
46	9
47	11
48	11
49	10
50	8
51	10
52	12
53	11
54	10
55	13
56	12
57	10
58	10
59	10
60	12
61	8
62	11
63	11
64	8
65	10
66	10
67	11
68	11
69	9
70	10
71	11
72	10
73	10
74	10
75	9
76	10
77	11
78	9
79	9
80	9
81	10
82	10
83	12
84	7
85	11
86	11
87	13
88	9
89	9
90	11
91	8
92	11
93	10
94	8
95	10
96	11
97	11
98	11
99	13
100	11
101	10
102	9
103	10
104	11
105	10
106	10
107	10
108	9
109	10
110	9
111	11
112	11
113	9
114	10
115	13
116	8
117	9
118	9
119	12
120	8
121	10
122	10
123	9
124	9
125	9
126	11
127	9
128	11
129	14
130	13
131	12
132	13
133	13
134	12
135	15
136	14
137	14
138	13
139	11
140	13
141	11
142	13
143	12
144	12
145	11
146	13
147	14
148	12
149	12
150	13
151	13
152	11
153	12
154	9
155	11
156	14
157	13
158	11
159	10
160	12
161	12
162	12
163	15
164	13
165	13
166	12
167	12
168	11
169	10
170	9
171	9
172	14
173	10
174	11
175	12
176	12
177	12
178	14
179	15
180	12
181	11
182	13
183	15
184	12
185	11
186	11
187	10
188	10
189	12
190	12
191	11
192	10
193	10
194	9
195	13
196	10
197	10
198	9
199	11
200	10
201	10
202	9
203	10
204	9
205	9
206	9
207	8
208	8
209	9
210	8
211	11
212	8
213	9
214	10
215	13
216	9
217	10
218	9
219	10
220	10
221	9
222	8
223	8
224	9
225	9
226	9
227	10
228	8
229	8
230	7
231	10
232	8
233	9
234	9
235	8
236	9
237	9
238	8
239	10
240	10
241	8
242	10
243	13
244	10
245	10
246	10
247	12
248	7
249	10
250	9
251	8
252	10
253	10
254	9
255	8
256	136
257	118
258	16
259	165
260	15
261	107
262	15
263	175
264	14
265	13
266	16
267	117
268	14
269	16
270	15
271	13
272	14
273	98
274	119
275	137
276	90
277	100
278	80
279	164
280	15
281	98
282	80
283	117
284	98
285	137
286	156
287	15
288	89
289	15
290	118
291	164
292	108
293	119
294	89
295	154
296	16
297	71
298	15
299	15
300	15
301	16
302	16
303	98
304	16
305	110
306	16
307	192
308	146
309	99
310	16
311	138
312	137
313	15
314	117
315	89
316	71
317	109
318	166
319	16
320	9
321	9
322	7
323	9
324	9
325	9
326	9
